Truth,Prediction,Irrigation_int,Vriaty_int
169.09969907723078,150.02362,1,2
161.8532002428336,153.59117,1,2
157.28897392495145,153.7758,1,2
163.9382257226686,144.76358,1,2
152.31151666010328,155.387,1,2
155.2777759773006,154.20813,1,2
152.78798879015224,151.41544,1,2
141.97697114831126,151.56985,1,2
140.45835470229443,142.38583,1,2
163.3242247870712,141.04588,1,2
156.81434295028262,150.21712,1,2
178.9008831953592,145.82573,1,2
167.76675563641584,134.94789,1,2
162.07385401677337,148.2683,1,2
157.765998269928,155.39426,1,2
161.97802562321567,156.69202,1,2
165.7406450753122,154.71729,1,2
168.9106199227039,149.4164,1,2
160.15323730004505,151.9956,1,2
148.7550065559285,147.97299,1,2
121.49815584235176,149.22295,1,2
179.95039193264594,145.48755,1,2
187.37768494186207,146.22144,1,2
144.84399607095725,147.5622,1,2
162.60988496962307,146.34833,1,2
161.6123867170662,146.67029,1,2
150.27767347070736,135.24521,1,2
150.781393500388,146.50107,1,2
134.5738884004269,144.99733,1,2
142.97456142136812,154.49098,1,2
147.95339945757752,155.08958,1,2
159.28323390686265,150.56256,1,2
149.92851222344507,151.45929,1,2
154.4855583776503,149.44417,1,2
165.3913917062652,146.87263,1,2
154.81198225506353,138.61781,1,2
153.1574017657881,137.39632,1,2
161.8508747769043,144.78502,1,2
164.5183505962523,147.73123,1,2
165.202588692157,139.39389,1,2
154.97307684139727,133.56313,1,2
143.70970546093355,140.09387,1,2
145.7500845969768,147.45206,1,2
193.078205280494,140.56876,1,2
158.22626888359204,144.90189,1,2
157.66998580710663,147.30112,1,2
162.05958557811388,154.39325,1,2
156.32295814760857,147.2463,1,2
145.1766795813333,148.19858,1,2
166.60181103263565,144.36082,1,2
141.1567691395333,143.47641,1,2
148.9991340320074,144.96237,1,2
165.46788861627243,146.6089,1,2
165.1494735454957,146.44626,1,2
175.7717802319262,148.32213,1,2
138.86103186225805,144.3423,1,2
166.70334672103436,143.39384,1,2
161.32039127262166,136.16852,1,2
126.65907685194752,133.92879,1,2
144.11640052283485,136.05562,1,2
139.06566827073675,142.51262,1,2
159.67704150008478,142.08403,1,2
159.1397215976304,154.64209,1,2
160.10214720505752,144.46849,1,2
143.37904713550313,148.48895,1,2
151.701474230469,147.81572,1,2
125.52073589587168,130.28545,1,2
133.46795048754467,131.66484,1,2
136.54016393069423,142.33232,1,2
168.0395119435285,149.65878,1,2
164.36922306427135,151.14816,1,2
180.72585563158705,151.28998,1,2
161.9702931504232,145.40036,1,2
133.03548039187646,131.54135,1,2
134.10735827881675,125.68756,1,2
133.0242497275817,132.55206,1,2
145.9948564489946,142.1024,1,2
127.67866811421052,147.72675,1,2
178.12689225926977,148.59348,1,2
149.42313520289383,142.74873,1,2
155.59232478995224,147.99397,1,2
137.24824409835898,147.48804,1,2
130.2826945206912,125.79083,1,2
150.14529973266485,135.40875,1,2
160.75462673779046,147.47214,1,2
165.0660724805013,137.28236,1,2
127.49722943534952,122.2574,1,2
130.74020333380335,152.09598,1,2
145.6678803542399,145.17722,1,2
147.61574500592442,150.58492,1,2
157.88474808976864,143.78001,1,2
147.34722328756897,145.62929,1,2
159.51465791906213,140.35738,1,2
156.88181863482887,133.74405,1,2
145.93446907682258,131.39854,1,2
149.10610085586913,146.9597,1,2
149.71669573395928,146.97107,1,2
139.58715465970175,128.66074,1,2
167.35674666985432,133.10333,1,2
91.53859680286098,113.087326,1,2
150.01688418451056,129.92299,1,2
155.55338602626992,144.97078,1,2
147.2939238816158,150.14809,1,2
124.60995265114306,130.95334,1,2
142.89686772761135,133.34706,1,2
151.40128573365675,134.59612,1,2
146.15751602298369,126.52699,1,2
151.1383791981833,136.80873,1,2
151.786256023299,122.82412,1,2
147.150319564022,139.80267,1,2
156.99071863478832,147.4779,1,2
167.44567101179075,166.0965,1,2
195.60400861055476,153.28848,1,2
140.11784652843258,152.73302,1,2
144.03244717926907,123.49768,1,2
159.81180867272954,131.89444,1,2
134.63648521389476,123.19519,1,2
142.12508623725407,126.04219,1,2
125.94105489214364,129.4325,1,2
112.55270664520384,144.37408,1,2
158.7987532086146,147.85486,1,2
136.7268496449104,140.77068,1,2
136.70309984701464,128.91708,1,2
141.17416739246076,121.33687,1,2
129.2487428484748,120.02077,1,2
155.29664715017907,129.27475,1,2
144.81950967260923,141.8074,1,2
179.95379788073188,150.26657,1,2
157.71168638778025,145.00026,1,2
94.3664986724803,103.41316,1,2
148.76991932192297,149.6758,1,2
190.14677722042947,153.21988,1,2
129.2411944054854,134.27986,1,2
135.53309216498192,121.67371,1,2
158.95966386790982,141.65451,1,2
149.2707857042749,142.66423,1,2
139.18101195428167,151.72072,1,2
177.1958571309735,154.83401,1,2
165.85387154391114,155.17557,1,2
175.85978200453638,150.59743,1,2
179.60767458661982,151.98837,1,2
178.79336391494996,150.23378,1,2
153.25405865229345,147.62933,1,2
147.15271286273986,142.81534,1,2
154.2303844115851,132.62964,1,2
131.54438802522878,115.36176,1,2
144.6038270104147,151.05728,1,2
158.53649104999803,149.04906,1,2
143.46079117523595,144.76369,1,2
135.92975321713598,138.74698,1,2
121.51141169485084,131.5157,1,2
128.04725272669825,120.28355,1,2
113.4436062574834,124.77015,1,2
147.9003763135327,126.73425,1,2
168.6320641976193,144.4985,1,2
143.75103771193596,143.99707,1,2
152.36868240805225,150.25253,1,2
183.294625368136,157.30281,1,2
187.48557238471287,153.9124,1,2
153.00680131112995,149.6241,1,2
165.74285429452755,146.08598,1,2
180.9481662695042,153.99197,1,2
139.75082684806935,144.38362,1,2
136.5392434562716,121.83204,1,2
113.23317055073596,115.738556,1,2
146.3240419359011,143.5953,1,2
143.5469538225834,144.24127,1,2
152.9769758726259,121.033775,1,2
164.85637319000028,143.53471,1,2
176.13465754182408,147.6116,1,2
146.93721436565383,145.06583,1,2
173.10847096024764,148.04268,1,2
152.3427231837375,144.24057,1,2
162.5348609809053,138.46437,1,2
172.68900710472835,149.07503,1,2
128.89838498516914,138.07089,1,2
141.56687012672012,141.4263,1,2
127.49078570573556,120.729805,1,2
122.18322244704387,121.4408,1,2
129.902142848431,122.76141,1,2
124.20896496045565,124.95861,1,2
143.83646397192504,149.1835,1,2
168.41923512002987,149.15231,1,2
241.71612687771028,154.0352,1,2
144.25245644911146,143.2789,1,2
171.1491916588975,144.13371,1,2
158.2512154433186,144.66194,1,2
156.06014375810528,150.45222,1,2
120.83978502017013,114.45095,1,2
141.98608444480783,118.11865,1,2
161.29120996961444,149.2589,1,2
216.7380980343989,144.7146,1,2
148.60983725541115,139.38727,1,2
116.01062689236264,126.822655,1,2
136.2395152221634,132.09258,1,2
127.30989938317624,124.05104,1,2
131.59317666296045,109.17384,1,2
140.1109425446035,118.93996,1,2
126.26361249159488,125.37854,1,2
131.4576730554224,125.400375,1,2
137.57853422009305,140.77094,1,2
136.79754721374118,146.47778,1,2
159.0584378306185,143.46202,1,2
186.35597645077488,144.01637,1,2
148.6372693209724,147.49237,1,2
135.67853760482933,117.02809,1,2
113.3920558840339,110.56869,1,2
150.16048854619052,136.41194,1,2
150.85420827252582,138.76128,1,2
146.4930533474836,118.25899,1,2
144.29811521916062,142.49113,1,2
152.22139573379127,145.39085,1,2
135.51541773136182,107.85329,1,2
141.65966070528535,117.02583,1,2
108.42684193844266,123.47905,1,2
137.0766552689229,137.30367,1,2
139.89332654287338,142.45467,1,2
134.07256176879417,134.33966,1,2
146.1450886992581,134.98828,1,2
88.88532147223695,125.29157,1,2
150.84923733036243,131.62103,1,2
158.6932592602144,136.21713,1,2
143.82532549051476,120.95991,1,2
115.31432959146048,118.975716,1,2
109.05290188218612,116.452736,1,2
129.4319304996286,140.8317,1,2
139.35075967364696,132.28668,1,2
123.00544965002324,124.04958,1,2
114.2694235828232,109.09197,1,2
116.81812544837992,103.411194,1,2
131.05668540235357,110.962006,1,2
140.84967666233965,137.46161,1,2
98.92234813928272,122.43684,1,2
112.3800131808396,108.91636,1,2
150.58135994482987,133.46678,1,2
114.15914273881953,111.29476,1,2
121.243994484251,124.64595,1,2
124.30451720321643,133.20177,1,2
155.0080574356044,145.14378,1,2
136.78208209138984,137.87819,1,2
163.46746100696564,135.43448,1,2
124.10365504439972,126.71925,1,2
112.40413134161632,122.82252,1,2
128.6874889331203,110.742584,1,2
125.88582252259356,119.72068,1,2
109.08548894042434,123.8428,1,2
144.93172357735313,134.7166,1,2
131.89698610904355,137.33609,1,2
130.69224311158757,138.98926,1,2
142.7188351732143,134.70793,1,2
111.9175333162262,120.55606,1,2
131.57062335497457,132.6531,1,2
160.023072737087,142.12177,1,2
156.5588007773064,137.31721,1,2
143.4142118011329,135.79723,1,2
177.3271262494732,142.53668,1,2
146.63941938134897,140.87073,1,2
125.17700588064264,131.32675,1,2
124.75171598675168,119.38867,1,2
104.66182921650125,102.69222,1,2
112.122445779007,104.42167,1,2
127.94065405575572,128.29793,1,2
134.93566096764928,130.99504,1,2
133.62481058820916,136.36775,1,2
113.8442257107218,117.91932,1,2
120.0284201291646,120.741295,1,2
118.74537001618204,112.4736,1,2
124.87285914854168,120.38969,1,2
137.91784565996485,146.49495,1,2
156.15100115838692,139.58006,1,2
134.97957089371982,131.18887,1,2
143.95097924484597,132.48793,1,2
138.62445287756032,135.7166,1,2
120.33772187621528,120.462616,1,2
134.258142807116,121.7262,1,2
109.85239167642428,106.45628,1,2
131.59225614681765,125.27716,1,2
141.40798479337363,138.81131,1,2
144.84602126628593,141.91447,1,2
113.1470079373395,119.69158,1,2
120.1917241167356,108.373566,1,2
97.35411447679564,108.9078,1,2
150.15496543140443,131.13344,1,2
147.41681614372845,137.64998,1,2
122.21286386024713,126.418465,1,2
145.14630178168693,139.58368,1,2
110.80929406528288,113.00296,1,2
123.78441146534128,127.0162,1,2
122.4561628729422,118.82891,1,2
145.5767466779699,131.17627,1,2
124.36416819123124,128.99405,1,2
122.53818319823696,122.40511,1,2
122.31872620683184,115.72549,1,2
107.45079231843668,111.52901,1,2
109.27926287785212,102.419846,1,2
146.3762366168976,128.7761,1,2
137.8229378741547,133.92514,1,2
129.32247822234174,140.66762,1,2
164.55277881425627,134.0144,1,2
207.0314949552684,123.919624,1,2
168.19315029286298,135.30118,1,2
120.156835553656,123.20499,1,2
119.20545641436776,109.02659,1,2
137.15729462989287,115.18315,1,2
140.4727151548581,115.22519,1,2
119.32218107135483,124.965034,1,2
126.27521127501916,142.69807,1,2
126.07066704980964,129.44797,1,2
142.97732304758136,140.17935,1,2
131.20581306473818,134.09866,1,2
152.86651097959955,119.96696,1,2
157.99143877162973,139.1632,1,2
107.33287093186308,112.2835,1,2
135.32799554200307,126.81903,1,2
100.86468965837838,99.30267,1,2
119.66885683168871,112.441475,1,2
112.97026401526252,103.93823,1,2
124.30902776525178,120.857124,1,2
113.70172601583069,127.83449,1,2
114.79293521579764,112.11416,1,2
