Name,RMSE,MAE,R2,mean_truth,rmse/mean,mae/mean
Full Pioneer,15.155574127771178,11.117396577226708,0.671288941178379,186.66925063106035,8.118945180599233,5.955665724077674
Deficit Pioneer,14.675424584226771,11.334993354314442,0.5844231260576266,186.66925063106035,7.861725771445772,6.0722338124758
all,14.948186772418465,11.212240863833085,0.9031543355876862,186.66925063106035,8.007846349564334,6.006474460002709
